name,kms_driven,fuel_type,company,car_age,Price
Hyundai Santro Xing,45000,Petrol,Hyundai,18,80000.0
Mahindra Jeep CL550,40,Diesel,Mahindra,19,425000.0000000002
Hyundai Grand i10,28000,Petrol,Hyundai,11,324999.9999999999
Ford EcoSport Titanium,36000,Diesel,Ford,11,575000.0000000001
Ford Figo,41000,Diesel,Ford,13,175000.00000000012
Hyundai Eon,25000,Petrol,Hyundai,12,189999.9999999999
Ford EcoSport Ambiente,24530,Diesel,Ford,9,830000.0000000005
Maruti Suzuki Alto,60000,Petrol,Maruti,10,249999.9999999998
Skoda Fabia Classic,60000,Petrol,Skoda,15,182000.00000000003
Maruti Suzuki Stingray,30000,Petrol,Maruti,10,315000.0000000002
Hyundai Elite i20,32000,Petrol,Hyundai,11,415000.00000000006
Mahindra Scorpio SLE,48660,Diesel,Mahindra,10,320000.00000000006
Hyundai Santro Xing,45000,Petrol,Hyundai,18,80000.0
Mahindra Jeep CL550,40,Diesel,Mahindra,19,425000.0000000002
Audi Q7,16934,Diesel,Audi,11,499999.99999999977
Mahindra Scorpio S10,43000,Diesel,Mahindra,9,349999.9999999997
Maruti Suzuki Alto,35550,Petrol,Maruti,11,159999.99999999997
Mahindra Scorpio S10,43000,Diesel,Mahindra,9,349999.9999999997
Mahindra Scorpio S10,39522,Diesel,Mahindra,9,310000.0000000002
Maruti Suzuki Alto,39000,Petrol,Maruti,10,75000.00000000004
Hyundai i20 Sportz,55000,Petrol,Hyundai,13,100000.00000000004
Hyundai i20 Sportz,55000,Petrol,Hyundai,13,100000.00000000004
Hyundai i20 Sportz,55000,Petrol,Hyundai,13,100000.00000000004
Maruti Suzuki Alto,72000,Petrol,Maruti,8,189999.9999999999
Maruti Suzuki Vitara,15975,Diesel,Maruti,9,289999.9999999999
Maruti Suzuki Alto,70000,Petrol,Maruti,17,95000.00000000001
Mahindra Bolero DI,23452,Diesel,Mahindra,8,180000.00000000003
Maruti Suzuki Swift,35522,Diesel,Maruti,11,385000.00000000023
Mahindra Scorpio S10,48508,Diesel,Mahindra,10,249999.9999999998
Maruti Suzuki Swift,15487,Petrol,Maruti,8,180000.00000000003
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Toyota Innova 2.0,82000,Diesel,Toyota,13,649999.9999999995
Renault Lodgy 85,20000,Diesel,Renault,7,689999.0000000002
Skoda Yeti Ambition,68000,Diesel,Skoda,13,448000.0000000002
Maruti Suzuki Baleno,32000,Diesel,Maruti,8,549000.0000000005
Renault Duster 110,38000,Diesel,Renault,13,501000.0
Renault Duster 85,27000,Diesel,Renault,12,489998.9999999997
Honda City 1.5,33000,Petrol,Honda,14,280000.0
Maruti Suzuki Alto,60000,Petrol,Maruti,10,249999.9999999998
Maruti Suzuki Dzire,46000,Diesel,Maruti,12,349999.0000000001
Honda Amaze,46000,Diesel,Honda,12,284999.0
Honda Amaze 1.5,36000,Diesel,Honda,10,344999.9999999997
Honda City,55000,Petrol,Honda,10,499998.9999999997
Datsun Redi GO,16000,Petrol,Datsun,8,235000.0
Maruti Suzuki SX4,36000,Petrol,Maruti,15,249998.99999999983
Mahindra Bolero DI,23452,Diesel,Mahindra,8,180000.00000000003
Maruti Suzuki Swift,35522,Diesel,Maruti,11,385000.00000000023
Mahindra Scorpio S10,48508,Diesel,Mahindra,10,249999.9999999998
Maruti Suzuki Swift,15487,Petrol,Maruti,8,180000.00000000003
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Maruti Suzuki Wagon,39000,Petrol,Maruti,12,104999.99999999997
Mahindra Scorpio S10,35000,Diesel,Mahindra,10,395000.00000000035
Maruti Suzuki Swift,30874,Petrol,Maruti,8,219999.99999999983
Honda City ZX,15000,Diesel,Honda,8,170000.00000000012
Maruti Suzuki Wagon,29685,Petrol,Maruti,12,84999.99999999996
Ford Figo,41000,Diesel,Ford,13,175000.00000000012
Hyundai Eon,25000,Petrol,Hyundai,12,189999.9999999999
Tata Indigo eCS,130000,Diesel,Tata,8,199999.99999999997
Ford EcoSport Ambiente,24530,Diesel,Ford,9,830000.0000000005
Tata Indigo eCS,130000,Diesel,Tata,8,199999.99999999997
Mahindra Scorpio SLE,19000,Diesel,Mahindra,13,570000.0000000001
Volkswagen Polo Highline,60000,Petrol,Volkswagen,11,315000.0000000002
Skoda Fabia Classic,60000,Petrol,Skoda,15,182000.00000000003
Maruti Suzuki Stingray,30000,Petrol,Maruti,10,315000.0000000002
Chevrolet Spark LS,41000,Petrol,Chevrolet,15,109999.99999999991
Renault Duster 110PS,35000,Diesel,Renault,13,501000.0
Honda City,54000,Petrol,Honda,10,448998.9999999996
Datsun Redi GO,16000,Petrol,Datsun,8,235000.0
Skoda Fabia 1.2L,38200,Diesel,Skoda,14,159499.9999999999
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Renault Duster,50000,Diesel,Renault,11,449999.00000000035
Mahindra Scorpio S4,30000,Diesel,Mahindra,10,864999.9999999994
Mahindra Scorpio VLX,50000,Diesel,Mahindra,11,698999.9999999995
Mahindra Quanto C8,20000,Diesel,Mahindra,12,375000.00000000006
Ford EcoSport,39000,Petrol,Ford,8,489998.9999999997
Honda Brio,30000,Petrol,Honda,13,224999.00000000015
Hyundai i20 Magna,32000,Petrol,Hyundai,16,195000.00000000006
Toyota Corolla Altis,38000,Diesel,Toyota,15,351000.0000000001
Hyundai Verna Transform,45000,Petrol,Hyundai,17,159999.99999999997
Toyota Corolla Altis,35000,Petrol,Toyota,16,240000.00000000003
Honda City 1.5,50000,Petrol,Honda,20,90000.00000000001
Hyundai Elite i20,32000,Petrol,Hyundai,11,415000.00000000006
Skoda Fabia 1.2L,45863,Diesel,Skoda,14,155000.00000000012
BMW 3 Series,60500,Petrol,BMW,14,600000.0000000003
Maruti Suzuki A,12500,Petrol,Maruti,14,189500.0000000001
Toyota Etios GD,60000,Diesel,Toyota,12,349999.9999999997
Ford Figo Diesel,35000,Diesel,Ford,13,210000.0
Maruti Suzuki Swift,35000,Petrol,Maruti,11,390000.00000000035
Chevrolet Beat LT,45000,Diesel,Chevrolet,13,134999.99999999997
Mahindra XUV500 W8,38000,Diesel,Mahindra,12,701000.0
Hyundai i10 Magna,18000,Petrol,Hyundai,11,265000.00000000006
Hyundai Verna Fluidic,35000,Diesel,Hyundai,10,525000.0000000003
Maruti Suzuki Swift,13349,Petrol,Maruti,12,371999.9999999998
Maruti Suzuki Ertiga,29000,Petrol,Maruti,9,634999.9999999997
Ford EcoSport Titanium,44000,Diesel,Ford,11,549999.9999999998
Maruti Suzuki Ertiga,29000,Petrol,Maruti,9,575000.0000000001
Maruti Suzuki Ertiga,42000,Diesel,Maruti,12,484999.99999999965
Maruti Suzuki Alto,14000,Petrol,Maruti,13,155000.00000000012
Hyundai Grand i10,49000,Diesel,Hyundai,11,344999.9999999997
Honda Amaze 1.2,42000,Petrol,Honda,11,324999.9999999999
Hyundai i20 Asta,36200,Diesel,Hyundai,13,329499.99999999994
Ford Figo Diesel,50000,Diesel,Ford,11,195000.00000000006
Maruti Suzuki Eeco,55000,Petrol,Maruti,10,251111.00000000015
Maruti Suzuki Ertiga,45000,Petrol,Maruti,11,569999.0
Maruti Suzuki Esteem,51000,Petrol,Maruti,18,69998.99999999994
Maruti Suzuki Ritz,19000,Petrol,Maruti,11,299998.9999999999
Maruti Suzuki Dzire,46000,Petrol,Maruti,16,219999.99999999983
Maruti Suzuki Ritz,33000,Diesel,Maruti,12,399999.0000000002
Maruti Suzuki Swift,13349,Petrol,Maruti,12,371999.9999999998
Maruti Suzuki Dzire,104000,Diesel,Maruti,10,449999.99999999994
Toyota Etios Liva,55000,Petrol,Toyota,11,270000.00000000006
Hyundai i20 Sportz,33333,Diesel,Hyundai,14,349999.9999999997
Chevrolet Spark,33600,Petrol,Chevrolet,13,158399.99999999985
Maruti Suzuki Alto,5600,Petrol,Maruti,8,349999.9999999997
Nissan Micra XV,41000,Petrol,Nissan,14,178999.99999999994
Maruti Suzuki Swift,70000,Petrol,Maruti,18,124999.9999999999
Maruti Suzuki Alto,7500,Petrol,Maruti,7,199999.99999999997
Honda Amaze 1.5,45000,Diesel,Honda,12,299000.00000000006
Maruti Suzuki Alto,38000,Petrol,Maruti,10,219999.99999999983
Chevrolet Beat,30000,Petrol,Chevrolet,10,150000.00000000006
Honda City 1.5,35000,Petrol,Honda,15,284999.99999999994
Ford EcoSport Trend,24330,Diesel,Ford,9,830000.0000000005
Hyundai i20 Asta,65480,Petrol,Hyundai,16,210000.0
Maruti Suzuki Swift,41000,Petrol,Maruti,12,339999.99999999994
Tata Indica V2,20000,Petrol,Tata,19,90000.00000000001
Hindustan Motors Ambassador,200000,Diesel,Hindustan,25,70000.00000000001
Toyota Corolla Altis,70000,Petrol,Toyota,15,289998.9999999999
Toyota Corolla Altis,59000,Petrol,Toyota,13,349999.0000000001
Toyota Innova 2.5,99000,Diesel,Toyota,13,849998.9999999994
Volkswagen Jetta Highline,46000,Diesel,Volkswagen,11,749999.0000000005
Volkswagen Polo Comfortline,2800,Petrol,Volkswagen,10,399999.0000000002
Volkswagen Polo,32000,Petrol,Volkswagen,11,274999.00000000006
Renault Duster,50000,Diesel,Renault,11,449999.00000000035
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Nissan Sunny,45000,Petrol,Nissan,13,224999.00000000015
Hyundai Elite i20,21000,Petrol,Hyundai,7,599998.9999999999
Renault Kwid,11000,Petrol,Renault,9,244998.99999999983
Renault Duster,41000,Diesel,Renault,12,399999.0000000002
Ford EcoSport,39000,Petrol,Ford,8,489998.9999999997
Renault Duster,50000,Diesel,Renault,11,474998.99999999994
Mahindra Scorpio VLX,66000,Diesel,Mahindra,14,499998.9999999997
Maruti Suzuki Alto,3000,Petrol,Maruti,7,310000.0000000002
Chevrolet Spark LT,45000,Petrol,Chevrolet,15,84999.99999999996
Datsun Redi GO,7000,Petrol,Datsun,9,244999.99999999997
Maruti Suzuki Swift,38500,Diesel,Maruti,15,189500.0000000001
Fiat Punto Emotion,37200,Diesel,Fiat,13,169499.99999999985
Maruti Suzuki Swift,43200,Diesel,Maruti,15,159499.9999999999
Toyota Etios GD,24800,Petrol,Toyota,12,275000.0000000002
Hyundai i20 Sportz,60000,Diesel,Hyundai,11,369999.99999999977
Hyundai i10 Sportz,45872,Petrol,Hyundai,15,167999.9999999999
Chevrolet Beat LT,40000,Diesel,Chevrolet,14,150000.00000000006
Chevrolet Beat LS,45000,Diesel,Chevrolet,14,145000.00000000012
Chevrolet Beat LT,38000,Diesel,Chevrolet,13,98499.99999999999
Mahindra Scorpio VLX,50000,Diesel,Mahindra,11,698999.9999999995
Tata Indigo CS,11400,Diesel,Tata,14,84999.99999999996
Toyota Corolla Altis,42000,Petrol,Toyota,10,575000.0000000001
Honda City 1.5,39000,Petrol,Honda,11,549000.0000000005
Maruti Suzuki Swift,47000,Diesel,Maruti,14,208999.99999999988
Hyundai Eon Era,27000,Petrol,Hyundai,12,185000.00000000006
Mahindra Scorpio S10,97200,Diesel,Mahindra,10,899999.9999999995
Mahindra XUV500,52000,Diesel,Mahindra,11,699999.0000000002
Honda Brio,30000,Petrol,Honda,13,224999.00000000015
Ford Fiesta,55000,Diesel,Ford,14,274999.00000000006
Honda Amaze,46000,Diesel,Honda,12,284999.0
Honda City,30000,Diesel,Honda,10,599998.9999999999
Maruti Suzuki Wagon,44000,Petrol,Maruti,13,199999.00000000006
Honda City,45000,Diesel,Honda,11,544999.0000000002
Hyundai i20,31000,Petrol,Hyundai,16,199000.0000000001
Tata Indigo eCS,175430,Diesel,Tata,9,320000.00000000006
Hyundai Fluidic Verna,38000,Diesel,Hyundai,10,540000.0000000001
Mahindra Quanto C8,37000,Diesel,Mahindra,12,339999.99999999994
Fiat Petra ELX,65000,Petrol,Fiat,17,75000.00000000004
Skoda Fabia 1.2L,38200,Diesel,Skoda,14,159499.9999999999
Hyundai Santro Xing,7500,Petrol,Hyundai,20,49000.00000000002
Maruti Suzuki Ciaz,3350,Petrol,Maruti,9,700000.0000000006
Maruti Suzuki Zen,60000,Petrol,Maruti,25,55000.00000000004
Honda City,54000,Petrol,Honda,10,448998.9999999996
Hyundai Creta 1.6,32000,Petrol,Hyundai,8,895000.0000000007
Mahindra Scorpio SLX,75000,Diesel,Mahindra,18,354999.9999999998
Mahindra Scorpio SLE,62000,Diesel,Mahindra,13,565000.0000000003
Toyota Innova 2.5,73000,Diesel,Toyota,19,364999.99999999977
Maruti Suzuki Alto,41000,Petrol,Maruti,14,145000.00000000012
Maruti Suzuki Wagon,35000,Petrol,Maruti,14,210000.0
Tata Nano Cx,2200,Petrol,Tata,12,40000.0
Maruti Suzuki Alto,39000,Petrol,Maruti,12,124999.9999999999
Maruti Suzuki Wagon,45000,Petrol,Maruti,16,134999.99999999997
Maruti Suzuki Swift,45000,Petrol,Maruti,19,134999.99999999997
Tata Sumo Victa,65000,Diesel,Tata,13,284999.99999999994
Maruti Suzuki Wagon,54870,Petrol,Maruti,15,145000.00000000012
Maruti Suzuki Alto,34580,Petrol,Maruti,15,134999.99999999997
Volkswagen Passat Diesel,97000,Diesel,Volkswagen,16,449999.99999999994
Renault Scala RxL,25000,Diesel,Renault,10,375000.00000000006
Mahindra Quanto C8,20000,Diesel,Mahindra,12,375000.00000000006
Hyundai Grand i10,20000,Petrol,Hyundai,11,364999.99999999977
Hyundai i20 Active,18000,Petrol,Hyundai,10,499999.99999999977
Mahindra Xylo E4,35000,Diesel,Mahindra,13,399999.9999999999
Mahindra Jeep MM,60,Diesel,Mahindra,6,390000.00000000035
Renault Duster 110PS,35000,Diesel,Renault,13,501000.0
Mahindra Bolero SLE,80200,Diesel,Mahindra,12,330000.0000000001
Force Motors Force,3200,Diesel,Force,10,579999.9999999997
Maruti Suzuki SX4,46000,Diesel,Maruti,13,265000.00000000006
Mahindra Jeep CL550,0,Diesel,Mahindra,6,379000.0000000002
Maruti Suzuki Alto,5000,Petrol,Maruti,10,218999.99999999988
Mahindra Jeep CL550,588,Diesel,Mahindra,7,385000.00000000023
Toyota Etios,36000,Diesel,Toyota,14,275000.0000000002
Volkswagen Polo,38000,Diesel,Volkswagen,10,330000.0000000001
Honda City ZX,45000,Petrol,Honda,17,109999.99999999991
Maruti Suzuki Wagon,71200,Petrol,Maruti,19,80000.0
Honda City VX,52000,Diesel,Honda,9,519000.0
Mahindra Thar CRDe,29000,Diesel,Mahindra,9,729999.9999999998
Audi A4 1.8,47000,Petrol,Audi,16,698999.9999999995
Renault Kwid RXT,5000,Petrol,Renault,8,339999.99999999994
Tata Aria Pleasure,35000,Diesel,Tata,11,390000.00000000035
Datsun GO T,7000,Petrol,Datsun,9,244999.99999999997
Tata Indigo eCS,175430,Diesel,Tata,9,320000.00000000006
Tata Indigo eCS,175400,Diesel,Tata,9,320000.00000000006
Honda Jazz VX,41000,Petrol,Honda,9,449999.99999999994
Honda Amaze 1.2,33000,Petrol,Honda,11,310999.9999999999
Honda Amaze,46000,Diesel,Honda,12,284999.0
Honda City,45000,Petrol,Honda,13,399999.0000000002
Honda City,39000,Diesel,Honda,10,599998.9999999999
Honda Amaze,22000,Petrol,Honda,10,344999.00000000006
Audi A4 1.8,47000,Petrol,Audi,16,698999.9999999995
Force Motors Force,3200,Diesel,Force,10,579999.9999999997
Mahindra Scorpio S4,30000,Diesel,Mahindra,10,854999.9999999993
Hyundai i20 Active,37000,Diesel,Hyundai,10,534999.9999999995
Maruti Suzuki Ciaz,14000,Petrol,Maruti,8,698999.9999999995
Chevrolet Tavera Neo,55000,Diesel,Chevrolet,12,375000.00000000006
Honda Amaze,46000,Diesel,Honda,12,284999.0
Hyundai Eon Sportz,30000,Petrol,Hyundai,13,177999.99999999994
Tata Sumo Gold,50000,Diesel,Tata,12,299999.99999999977
Maruti Suzuki Wagon,45000,Petrol,Maruti,22,90000.00000000001
Maruti Suzuki Esteem,45000,Petrol,Maruti,19,95000.00000000001
Maruti Suzuki Eeco,9300,Petrol,Maruti,10,255000.0000000001
Chevrolet Enjoy 1.4,55000,Diesel,Chevrolet,12,244999.99999999997
Hyundai i20 Asta,36200,Diesel,Hyundai,13,329499.99999999994
Ford Figo Diesel,50000,Diesel,Ford,11,195000.00000000006
Maruti Suzuki Eeco,55000,Petrol,Maruti,10,251111.00000000015
Maruti Suzuki Ertiga,45000,Petrol,Maruti,11,569999.0
Maruti Suzuki Esteem,51000,Petrol,Maruti,18,69998.99999999994
Maruti Suzuki Ritz,19000,Petrol,Maruti,11,299998.9999999999
Maruti Suzuki Dzire,46000,Petrol,Maruti,16,219999.99999999983
Maruti Suzuki Ritz,33000,Diesel,Maruti,12,399999.0000000002
Maruti Suzuki SX4,36000,Petrol,Maruti,15,249998.99999999983
Maruti Suzuki Wagon,22000,Petrol,Maruti,10,289998.9999999999
Nissan Terrano XL,60000,Diesel,Nissan,10,499998.9999999997
Renault Duster 85,27000,Diesel,Renault,12,489998.9999999997
Renault Duster 85,59000,Diesel,Renault,11,489998.9999999997
Renault Duster 85,19000,Diesel,Renault,10,549999.0000000001
Maruti Suzuki Dzire,30000,Petrol,Maruti,12,379999.9999999999
Renault Kwid RXT,15000,Petrol,Renault,7,324999.9999999999
Maruti Suzuki Maruti,56758,Petrol,Maruti,22,57000.000000000044
Renault Kwid 1.0,10000,Petrol,Renault,7,349999.0000000001
Renault Lodgy 85,20000,Diesel,Renault,7,689999.0000000002
Renault Scala RxL,49000,Diesel,Renault,11,349999.0000000001
Hyundai Grand i10,41000,Petrol,Hyundai,11,409999.9999999997
Maruti Suzuki Swift,45000,Petrol,Maruti,14,225000.00000000015
Chevrolet Beat LS,43000,Petrol,Chevrolet,15,120000.00000000004
Tata Indigo eCS,175430,Diesel,Tata,9,320000.00000000006
Hyundai Santro Xing,56450,Petrol,Hyundai,25,58999.99999999997
Hyundai Fluidic Verna,38000,Diesel,Hyundai,10,540000.0000000001
Chevrolet Beat LS,56000,Petrol,Chevrolet,15,80000.0
Mahindra Quanto C8,37000,Diesel,Mahindra,12,339999.99999999994
Fiat Petra ELX,65000,Petrol,Fiat,17,75000.00000000004
Chevrolet Beat LS,32700,Petrol,Chevrolet,10,219999.99999999983
Skoda Fabia 1.2L,38200,Diesel,Skoda,14,159499.9999999999
Ford EcoSport Titanium,30000,Diesel,Ford,9,599000.0
Hyundai Accent GLX,56000,Petrol,Hyundai,19,80000.0
Mahindra TUV300 T4,9000,Diesel,Mahindra,9,674999.9999999998
Tata Indica V2,11000,Petrol,Tata,17,150000.00000000006
Tata Indigo CS,46000,Diesel,Tata,16,72500.0
Maruti Suzuki Swift,73,Petrol,Maruti,6,610000.0000000005
Mahindra Scorpio VLX,160000,Diesel,Mahindra,21,230000.0000000001
Honda Accord,58559,Petrol,Honda,16,175000.00000000012
Mahindra Scorpio S4,30000,Diesel,Mahindra,10,854999.9999999993
Chevrolet Tavera Neo,55000,Diesel,Chevrolet,12,375000.00000000006
Ford EcoSport Titanium,57000,Diesel,Ford,11,520000.0
Maruti Suzuki Ertiga,50000,Diesel,Maruti,10,524998.9999999998
Honda Amaze,37000,Petrol,Honda,11,299998.9999999999
Maruti Suzuki Dzire,40000,Petrol,Maruti,13,299998.9999999999
Honda City,55000,Petrol,Honda,14,284999.0
Mahindra Scorpio 2.6,170000,Diesel,Mahindra,18,219999.99999999983
Maruti Suzuki Dzire,55000,Diesel,Maruti,11,424998.99999999965
Honda City,39000,Petrol,Honda,10,644998.9999999998
Honda Mobilio,44000,Petrol,Honda,11,399999.0000000002
Toyota Corolla Altis,65000,Petrol,Toyota,16,199999.00000000006
Honda City,39000,Petrol,Honda,11,584998.9999999995
Skoda Laura,44000,Diesel,Skoda,13,349999.0000000001
Renault Duster,49000,Diesel,Renault,10,449999.00000000035
Maruti Suzuki Ertiga,9000,Diesel,Maruti,7,799999.0000000003
Maruti Suzuki Dzire,45000,Diesel,Maruti,10,444999.00000000023
Mahindra XUV500,47000,Diesel,Mahindra,11,649998.9999999998
Hyundai Verna Fluidic,40000,Diesel,Hyundai,13,444999.00000000023
Maruti Suzuki Vitara,29000,Diesel,Maruti,9,689999.0000000002
Maruti Suzuki Wagon,15000,Petrol,Maruti,9,344999.00000000006
Mahindra Scorpio,45000,Diesel,Mahindra,10,944998.9999999993
Honda Amaze,35000,Petrol,Honda,11,274999.00000000006
Mahindra XUV500,80000,Diesel,Mahindra,12,689999.0000000002
Mahindra Scorpio,68000,Diesel,Mahindra,12,574999.0
Skoda Laura,50000,Diesel,Skoda,12,374999.0000000002
Volkswagen Polo,60000,Diesel,Volkswagen,15,199999.00000000006
Hyundai Elite i20,9000,Petrol,Hyundai,9,549999.0000000001
Tata Manza Aura,72000,Diesel,Tata,13,130000.00000000009
Chevrolet Sail UVA,60000,Petrol,Chevrolet,12,210000.0
Renault Duster 110,38000,Diesel,Renault,13,501000.0
Hyundai Verna Fluidic,45000,Diesel,Hyundai,12,400999.99999999994
Hyundai Elantra SX,20000,Petrol,Hyundai,12,600000.0000000003
Mahindra Scorpio VLX,35000,Diesel,Mahindra,12,610000.0000000005
Mahindra KUV100 K8,20000,Diesel,Mahindra,9,399999.9999999999
Renault Scala RxL,25000,Diesel,Renault,10,375000.00000000006
Mahindra Quanto C8,20000,Diesel,Mahindra,12,375000.00000000006
Hyundai Grand i10,20000,Petrol,Hyundai,11,364999.99999999977
Hyundai i20 Active,18000,Petrol,Hyundai,10,499999.99999999977
Mahindra Xylo E4,35000,Diesel,Mahindra,13,399999.9999999999
Hyundai Grand i10,6821,Petrol,Hyundai,8,524998.9999999998
Hyundai i20,23000,Petrol,Hyundai,11,449999.00000000035
Hyundai Eon,14000,Petrol,Hyundai,11,174999.00000000003
Hyundai i10,38000,Petrol,Hyundai,13,244998.99999999983
Hyundai i20 Active,35000,Diesel,Hyundai,10,574999.0
Datsun Redi GO,22000,Petrol,Datsun,8,244998.99999999983
Toyota Etios Liva,41000,Petrol,Toyota,14,239999.00000000015
Hyundai Accent,45000,Petrol,Hyundai,15,99999.00000000001
Hyundai Verna,44000,Diesel,Hyundai,11,489998.9999999997
Maruti Suzuki Swift,45000,Diesel,Maruti,12,324998.9999999999
Hyundai i10 Sportz,34000,Petrol,Hyundai,13,230000.0000000001
Mahindra Bolero Power,1800,Diesel,Mahindra,7,698999.9999999995
Honda City 1.5,400000,Petrol,Honda,15,240000.00000000003
Chevrolet Spark LT,44000,Petrol,Chevrolet,16,109999.99999999991
Mahindra Jeep MM,60,Diesel,Mahindra,6,390000.00000000035
Renault Duster 110PS,35000,Diesel,Renault,13,501000.0
Tata Indigo eCS,40000,Diesel,Tata,11,249999.9999999998
Mahindra Bolero SLE,80200,Diesel,Mahindra,12,330000.0000000001
Force Motors Force,3200,Diesel,Force,10,579999.9999999997
Skoda Rapid Elegance,48000,Diesel,Skoda,12,339999.99999999994
Tata Vista Quadrajet,90000,Diesel,Tata,14,120000.00000000004
Maruti Suzuki Alto,12000,Petrol,Maruti,10,265000.00000000006
Maruti Suzuki SX4,46000,Diesel,Maruti,13,265000.00000000006
Maruti Suzuki Zen,69900,Petrol,Maruti,22,84999.99999999996
Mahindra Jeep CL550,0,Diesel,Mahindra,6,379000.0000000002
Hyundai i10 Magna,45000,Petrol,Hyundai,14,175000.00000000012
Maruti Suzuki Alto,5000,Petrol,Maruti,10,218999.99999999988
Maruti Suzuki Swift,166000,Diesel,Maruti,9,349999.9999999997
Honda City ZX,42000,Petrol,Honda,17,149000.0
Mahindra Jeep CL550,588,Diesel,Mahindra,7,385000.00000000023
Mahindra Jeep MM,122,Diesel,Mahindra,19,425000.0000000002
Chevrolet Beat Diesel,62000,Diesel,Chevrolet,8,150000.00000000006
Honda City 1.5,70000,Petrol,Honda,15,225000.00000000015
Hyundai Verna 1.4,36000,Petrol,Hyundai,11,375000.00000000006
Toyota Innova 2.5,0,Diesel,Toyota,13,769999.9999999997
Maruti Suzuki Maruti,55000,Petrol,Maruti,30,29999.99999999999
Toyota Etios,36000,Diesel,Toyota,14,275000.0000000002
Volkswagen Polo,38000,Diesel,Volkswagen,10,330000.0000000001
Maruti Suzuki Swift,55000,Diesel,Maruti,11,334999.9999999998
Hyundai Elite i20,20000,Diesel,Hyundai,10,449999.99999999994
Maruti Suzuki Swift,40000,Petrol,Maruti,13,225000.00000000015
Maruti Suzuki Versa,50000,Petrol,Maruti,21,80000.0
Tata Indigo LX,104000,Diesel,Tata,9,130000.00000000009
Volkswagen Vento Konekt,65000,Diesel,Volkswagen,14,244999.99999999997
Mercedes Benz C,41000,Petrol,Mercedes,23,398999.99999999977
Maruti Suzuki Ertiga,90000,Diesel,Maruti,12,449999.99999999994
Honda City,80000,Petrol,Honda,25,64999.999999999956
Hyundai Santro Xing,46000,Petrol,Hyundai,19,75000.00000000004
Maruti Suzuki Omni,70000,Petrol,Maruti,24,70000.00000000001
Hyundai Sonata Transform,36469,Diesel,Hyundai,8,189999.9999999999
Hyundai Elite i20,7800,Petrol,Hyundai,7,600000.0000000003
Volkswagen Vento Konekt,65000,Diesel,Volkswagen,14,244999.99999999997
Maruti Suzuki Alto,60000,Petrol,Maruti,8,240000.00000000003
Maruti Suzuki Alto,32000,Petrol,Maruti,14,155000.00000000012
Honda Jazz S,24695,Petrol,Honda,16,169999.0
Hyundai Grand i10,15141,Petrol,Hyundai,8,449999.99999999994
Maruti Suzuki Zen,40000,Petrol,Maruti,24,40000.0
Mahindra Scorpio W,65000,Diesel,Mahindra,13,165000.00000000015
Maruti Suzuki Alto,22000,Petrol,Maruti,11,270000.00000000006
Hyundai Grand i10,59910,Diesel,Hyundai,9,280000.0
Mahindra XUV500 W8,100000,Diesel,Mahindra,13,560000.0000000003
Hyundai Creta 1.6,25000,Petrol,Hyundai,9,950000.0000000008
Hyundai i20 Magna,35000,Petrol,Hyundai,12,310000.0000000002
Renault Duster 85,65000,Diesel,Renault,10,714999.9999999995
Hyundai Grand i10,35000,Petrol,Hyundai,11,339999.99999999994
Honda Brio V,33000,Petrol,Honda,13,235000.0
